country,country_code,product,product_code,quantity
Irish Republic,IE,"Butter, incl. dehydrated butter and ghee, and other fats and oils derived from milk; dairy spreads",405.0,1037106087
Netherlands,NL,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)",6403.0,1036210931
France,FR,"Bodies, incl. cabs, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705",8707.0,1034862432
France,FR,"Polymers of ethylene, in primary forms",3901.0,1033256763
Poland,PL,Chocolate and other food preparations containing cocoa,1806.0,1032731063
Latvia,LV,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner",2710.0,1029865452
Germany,DE,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punchcards and punch-tape paper, in rolls or in square or rectangular sheets, of any size, and handmade paper and paperboard (excl. newsprint of heading 4801 and paper of heading 4803)",4802.0,1026148120
Germany,DE,"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability",9021.0,1023525971
Italy,IT,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps; parts thereof (excl. air conditioning machines of heading 8415)",8418.0,1022073763
Austria,AT,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,1018262973
Poland,PL,"Discs, tapes, solid-state non-volatile storage devices, ""smart cards"" and other media for the recording of sound or of other phenomena, whether or not recorded, incl. matrices and masters for the production of discs (excl. products of chapter 37)",8523.0,1009063768
France,FR,"Paper and paperboard, coated on one or both sides with kaolin ""China clay"" or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. all other coated pa",4810.0,995764944
Sweden,SE,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than trans",8517.0,994970622
Irish Republic,IE,Chocolate and other food preparations containing cocoa,1806.0,988161861
Germany,DE,"Beauty or make-up preparations and preparations for the care of the skin, incl. sunscreen or suntan preparations (excl. medicaments); manicure or pedicure preparations",3304.0,985681999
Poland,PL,"Furniture and parts thereof, n.e.s. (excl. seats and medical, surgical, dental or veterinary furniture)",9403.0,983509102
Belgium,BE,"Printing machinery used for printing by means of plates, cylinders and other printing components of heading 8442 (excl. hectograph or stencil duplicating machines, addressing machines and other office printing machines of heading 8469 to 8472); other printers, copying machines and facsimile machines, whe",8443.0,982494885
Germany,DE,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes an",7308.0,976970844
Romania,RO,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, slips, petticoats and panties, tracksuits, ski suits and swimwear)",6204.0,976248626
Italy,IT,"Plates, sheets, film, foil and strip, of non-cellular plastics, not reinforced, laminated, supported or similarly combined with other materials, without backing, unworked or merely surface-worked or merely cut into squares or rectangles (excl. self-adhesive products, and floor, wall and ceiling coverings",3920.0,975472319
Germany,DE,"Plates, sheets, film, foil and strip, of plastics, reinforced, laminated, supported or similarly combined with other materials, or of cellular plastic, unworked or merely surface-worked or merely cut into squares or rectangles (excl. self-adhesive products, floor, wall and ceiling coverings of heading 39",3921.0,973469870
Finland,FI,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness of > 6 mm",4407.0,971935069
Germany,DE,Spark-ignition reciprocating or rotary internal combustion piston engine,8407.0,971498369
France,FR,Chocolate and other food preparations containing cocoa,1806.0,968821920
Belgium,BE,,,962744458
Hungary,HU,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,962679060
Czech Republic,CZ,"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, incl. apparatus for communication in a wired or wireless network [such as a local or wide area network]; parts thereof (excl. than trans",8517.0,962132962
Spain,ES,"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009.0,958776673
France,FR,"Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera and other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excl. yeasts) and similar products",3002.0,958586711
Sweden,SE,"Uncoated kraft paper and paperboard, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state (excl. goods of heading 4802 or 4803)",4804.0,956239632
Germany,DE,"Other paper and paperboard, uncoated, in rolls of a width > 36 cm or in square or rectangular sheets with one side > 36 cm and the other side > 15 cm in the unfolded state, not worked other than as specified in Note 3 to this chapter, n.e.s.",4805.0,952340889
Germany,DE,"Meat of swine, fresh, chilled or frozen",203.0,944178303
Germany,DE,Pharmaceutical preparations and products of subheadings 3006.10.10 to 3006.60.90,3006.0,944031839
Germany,DE,"Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus of heading 8535 or 8536, for electric control or the distribution of electricity, incl. those incorporating instruments or apparatus of chapter 90, and numerical control apparatus (excl. switching apparatus for",8537.0,934722787
France,FR,"New pneumatic tyres, of rubber",4011.0,934710179
Germany,DE,"Wine of fresh grapes, incl. fortified wines; grape must, partly fermented and of an actual alcoholic strength of > 0,5% vol or grape must with added alcohol of an actual alcoholic strength of > 0,5% vol",2204.0,933065043
Spain,ES,"Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and other edible fruits (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears, quinces, apricots, cherries, peaches, plum",810.0,922522169
Belgium,BE,"Plates, sheets, film, foil and strip, of non-cellular plastics, not reinforced, laminated, supported or similarly combined with other materials, without backing, unworked or merely surface-worked or merely cut into squares or rectangles (excl. self-adhesive products, and floor, wall and ceiling coverings",3920.0,921644119
Germany,DE,Electric motors and generators (excl. generating sets),8501.0,915030648
Germany,DE,"Measuring or checking instruments, appliances and machines not elsewhere specified in chapter 90; profile projectors",9031.0,913234350
Belgium,BE,"Self-propelled bulldozers, angledozers, graders, levellers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and roadrollers",8429.0,908607365
Italy,IT,"Pumps for liquids, whether or not fitted with a measuring device (excl. ceramic pumps and secretion aspirating pumps for medical use and medical pumps carried on or implanted in the body); liquid elevators (excl. pumps); parts thereof",8413.0,907248011
Netherlands,NL,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",2304.0,907114640
Netherlands,NL,"Ethers, ether-alcohols, ether-phenols, ether-alcohol-phenols, alcohol peroxides, ether peroxide, ketone peroxides, whether or not chemically defined, and their halogenated, sulphonated, nitrated or nitrosated derivatives",2909.0,902975376
Belgium,BE,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen",710.0,899944034
Germany,DE,"Articles of iron or steel, n.e.s. (excl. cast articles)",7326.0,894791387
France,FR,"Cane or beet sugar and chemically pure sucrose, in solid form",1701.0,892504548
Latvia,LV,"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness of > 6 mm",4407.0,892088493
Germany,DE,"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, whether or not for medical, surgical, dental or veterinary uses, incl. radiography or radiotherapy apparatus, X-ray tubes and other X-ray generators, high tension generators, control panels and desks, screens, examination or trea",9022.0,886175288
Austria,AT,"Motor cars and other motor vehicles principally designed for the transport of persons, incl. station wagons and racing cars (excl. motor vehicles of heading 8702)",8703.0,880982762
Czech Republic,CZ,"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes",2402.0,879682888
Sweden,SE,"Silver, incl. silver plated with gold or platinum, unwrought or in semi-manufactured forms, or in powder form",7106.0,871415141
France,FR,Spark-ignition reciprocating or rotary internal combustion piston engine,8407.0,871278920
Austria,AT,"Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk)",2202.0,869855422
Italy,IT,"Dishwashing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery, incl. heat-shr",8422.0,869533971
Germany,DE,"Food preparations, n.e.s.",2106.0,867527405
Netherlands,NL,"Prepared or preserved meat, offal or blood (excl. sausages and similar products, and meat extracts and juices)",1602.0,867256065
Italy,IT,"Transmission shafts, incl. camshafts and crankshafts, and cranks; bearing housings and plain shaft bearings for machines; gears and gearing; ball or roller screws, gear boxes and other speed changers, incl. torque converters; flywheels and pulleys, incl. pulley blocks, clutches and shaft couplings, incl.",8483.0,866131560
Germany,DE,"Self-propelled bulldozers, angledozers, graders, levellers, scrapers, mechanical shovels, excavators, shovel loaders, tamping machines and roadrollers",8429.0,864169509
Poland,PL,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen",207.0,855739138
Germany,DE,"Polymers of propylene or of other olefins, in primary forms",3902.0,855664311
Austria,AT,"Motor vehicles for the transport of goods, incl. chassis with engine and cab",8704.0,854688546
Belgium,BE,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)",6403.0,854598007
Belgium,BE,"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured forms, or in powder form",7110.0,850893650
Germany,DE,"Toilet paper and similar paper, cellulose wadding or webs of cellulose fibres, of a kind used for household or sanitary purposes, in rolls of a width <= 36 cm, or cut to size or shape; handkerchiefs, cleansing tissues, towels, tablecloths, serviettes, bedsheets and similar household, sanitary or hospital",4818.0,850831527
Denmark,DK,"Engines and motors (excl. steam turbines, internal combustion piston engine, hydraulic turbines, water wheels, gas turbines and electric motors); parts thereof",8412.0,849619207
Italy,IT,"Women's or girls' suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, slips, petticoats and panties, tracksuits, ski suits and swimwear)",6204.0,848683386
Italy,IT,"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the transport of persons or goods",8901.0,848600600
Germany,DE,"Bodies, incl. cabs, for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705",8707.0,843166449
Italy,IT,"Insulated ""incl. enamelled or anodised"" wire, cable ""incl. coaxial cable"" and other insulated electric conductors, whether or not fitted with connectors; optical fibre cables, made up of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",8544.0,843160002
Irish Republic,IE,"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability",9021.0,842792211
Italy,IT,"Central heating boilers, non-electric; parts thereof (excl. vapour generating boilers and superheated water boilers of heading 8402)",8403.0,841503820
France,FR,"Plates, sheets, film, foil and strip, of non-cellular plastics, not reinforced, laminated, supported or similarly combined with other materials, without backing, unworked or merely surface-worked or merely cut into squares or rectangles (excl. self-adhesive products, and floor, wall and ceiling coverings",3920.0,840447585
Germany,DE,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",2905.0,839909193
Germany,DE,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",8528.0,834723224
Irish Republic,IE,Beer made from malt,2203.0,833060208
Belgium,BE,"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability",9021.0,829112563
Irish Republic,IE,Preparations of a kind used in animal feeding,2309.0,826291516
Irish Republic,IE,Amine-function compounds,2921.0,822507276
France,FR,"Pumps for liquids, whether or not fitted with a measuring device (excl. ceramic pumps and secretion aspirating pumps for medical use and medical pumps carried on or implanted in the body); liquid elevators (excl. pumps); parts thereof",8413.0,816847851
Spain,ES,"Tomatoes, fresh or chilled",702.0,815805664
Germany,DE,"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables of liquids or gases, e.g. flow meters, level gauges, manometers, heat meters (excl. instruments and apparatus of heading 9014, 9015, 9028 or 9032)",9026.0,815180144
Belgium,BE,"Sanitary towels (pads) and tampons, napkins and napkin liners for babies, and similar articles, of any material",9619.0,814214380
France,FR,Electric motors and generators (excl. generating sets),8501.0,812676462
Poland,PL,"Household or laundry-type washing machines, incl. machines which both wash and dry; parts thereof",8450.0,811515425
Germany,DE,"Parts and accessories suitable for use solely or principally with the machine tools of heading 8456 to 8465, incl. work or tool holders, self-opening dieheads, dividing heads and other special attachments for machine tools, n.e.s.; tool holders for any type of tool for working in the hand",8466.0,810958361
France,FR,Maize or corn,1005.0,810362095
Netherlands,NL,"Radioactive chemical elements and radioactive isotopes, incl. their fissile or fertile chemical elements and isotopes, and their compounds; mixtures and residues containing these products",2844.0,804702669
Poland,PL,"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes",2402.0,804159506
Netherlands,NL,Chocolate and other food preparations containing cocoa,1806.0,802019178
Poland,PL,Parts suitable for use solely or principally with internal combustion piston engine of heading 8407 or 8408,8409.0,791091466
France,FR,"Flat-rolled products of iron or non-alloy steel, of a width >= 600 mm, hot-rolled or cold-rolled ""cold-reduced"", clad, plated or coated",7210.0,788151308
Netherlands,NL,"Mineral or chemical nitrogenous fertilisers (excl. those in pellet or similar forms, or in packages with a gross weight of <= 10 kg)",3102.0,787721642
Poland,PL,"Prepared or preserved meat, offal or blood (excl. sausages and similar products, and meat extracts and juices)",1602.0,786930604
Italy,IT,"Articles of jewellery and parts thereof, of precious metal or of metal clad with precious metal (excl. articles > 100 years old)",7113.0,785791452
Sweden,SE,"Motor vehicles for the transport of goods, incl. chassis with engine and cab",8704.0,781675501
France,FR,"Copper, refined, and copper alloys, unwrought (excl. copper alloys of heading 7405)",7403.0,778933294
Italy,IT,"Paper and paperboard, coated on one or both sides with kaolin ""China clay"" or other inorganic substances, with or without a binder, and with no other coating, whether or not surface-coloured, surface-decorated or printed, in rolls or in square or rectangular sheets, of any size (excl. all other coated pa",4810.0,777638140
Spain,ES,"Lettuce ""Lactuca sativa"" and chicory ""Cichorium spp."", fresh or chilled",705.0,774514349
Netherlands,NL,"Paintings, e.g. oil paintings, watercolours and pastels, and drawings executed entirely by hand (excl. technical drawings and the like of heading 4906, and hand-painted or hand-decorated manufactured articles); collages and similar decorative plaques",9701.0,773789905
Netherlands,NL,"Printing ink, writing or drawing ink and other inks, whether or not concentrated or solid",3215.0,772401345
France,FR,Preparations for use on the hair,3305.0,771818481
Poland,PL,"Insulated ""incl. enamelled or anodised"" wire, cable ""incl. coaxial cable"" and other insulated electric conductors, whether or not fitted with connectors; optical fibre cables, made up of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",8544.0,770784870
Germany,DE,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)",6403.0,767518369
France,FR,"Air or vacuum pumps (excl. gas compound elevators and pneumatic elevators and conveyors); air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; parts thereof",8414.0,763679082
Germany,DE,"Nucleic acids and their salts, whether or not chemically defined; heterocyclic compounds (excl. with oxygen only or with nitrogen hetero-atom[s] only)",2934.0,761587741
Irish Republic,IE,"Optical fibres and optical fibre bundles; optical fibre cables (excl. made up of individually sheathed fibres of heading 8544); sheets and plates of polarising material; lenses, incl. contact lenses, prisms, mirrors and other optical elements of any material, unmounted (excl. such elements of glass not o",9001.0,759602965
Germany,DE,"Structures and parts of structures ""e.g., bridges and bridge-sections, towers, lattice masts, pillars and columns, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades"", of aluminium (excl. prefabricated buildings of heading 9406); plates, rods, pr",7610.0,759139118
Netherlands,NL,"Food preparations, n.e.s.",2106.0,758638146
France,FR,,,757864998
France,FR,"Parts suitable for use solely or principally with the machinery of heading 8425 to 8430, n.e.s.",8431.0,757800712
Italy,IT,"Turbojets, turbopropellers and other gas turbines",8411.0,756674313
France,FR,"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s.",3926.0,756147432
Czech Republic,CZ,"Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size ""scale"" recreational models, working or not; puzzles of all kinds",9503.0,755371276
Germany,DE,"Machinery, plant or laboratory equipment whether or not electrically heated (excl. furnaces, ovens and other equipment of heading 8514), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting, distilling, rectifying, sterilising, pasteurising, ste",8419.0,751408027
Portugal,PT,"Parts and accessories for tractors, motor vehicles for the transport of ten or more persons, motor cars and other motor vehicles principally designed for the transport of persons, motor vehicles for the transport of goods and special purpose motor vehicles of heading 8701 to 8705, n.e.s.",8708.0,751388296
Netherlands,NL,"Undenatured ethyl alcohol of an alcoholic strength of >= 80%; ethyl alcohol and other spirits, denatured, of any strength",2207.0,751126643
Denmark,DK,"Structures and parts of structures ""e.g., bridges and bridge-sections, lock-gates, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, shutters, balustrades, pillars and columns"", of iron or steel; plates, rods, angles, shapes, sections, tubes an",7308.0,749342660
Italy,IT,"Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted (excl. wadded waistcoats)",6110.0,747691900
Netherlands,NL,"Organic surface-active agents (excl. soap); surface-active preparations, washing preparations, incl. auxiliary washing preparations, and cleaning preparations, whether or not containing soap (excl. those of heading 3401)",3402.0,745304984
Germany,DE,"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar receptacles used in agriculture; ceramic pots, jars and similar articles used for the conveyance or packing of goods (excl. millstones, polishing stones, grindstones and the like of heading 6804; refractory",6909.0,744984368
Netherlands,NL,"New pneumatic tyres, of rubber",4011.0,744601826
Spain,ES,,,742793480
Italy,IT,"Electric instantaneous or storage water heaters and immersion heaters; electric space-heating apparatus and soil-heating apparatus; electro-thermic hairdressing apparatus, e.g. hairdryers, hair curlers and curling tong heaters, and hand dryers; electric smoothing irons; other electro-thermic appliances o",8516.0,741268487
Spain,ES,"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled",704.0,736367353
France,FR,"Apples, pears and quinces, fresh",808.0,735492553
Spain,ES,"Insulated ""incl. enamelled or anodised"" wire, cable ""incl. coaxial cable"" and other insulated electric conductors, whether or not fitted with connectors; optical fibre cables, made up of individually sheathed fibres, whether or not assembled with electric conductors or fitted with connectors",8544.0,730248419
Germany,DE,"Prepared or preserved meat, offal or blood (excl. sausages and similar products, and meat extracts and juices)",1602.0,729261928
Netherlands,NL,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels (excl. photovotaic generators); light emitting diodes; mounted piezoelectric crystals; parts thereof",8541.0,728893850
Netherlands,NL,"Turbojets, turbopropellers and other gas turbines",8411.0,726049596
Germany,DE,"Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious-metal compounds, of a kind used principally for the recovery of precious metal (excl. waste and scrap melted down into unworked blocks, ingots, or similar forms)",7112.0,724812464
Italy,IT,"Parts suitable for use solely or principally with the machinery of heading 8425 to 8430, n.e.s.",8431.0,724383406
France,FR,"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, incl. pressure-reducing valves and thermostatically controlled valves; parts thereof",8481.0,724184421
Irish Republic,IE,"Other vegetables, fresh or chilled (excl. potatoes, tomatoes, alliaceous vegetables, edible brassicas, lettuce ""Lactuca sativa"" and chicory ""Cichorium spp."", carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, cucumbers and gherkins, and leguminous vegatables)",709.0,722907450
Italy,IT,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine""",8408.0,721798660
Germany,DE,"Insecticides, rodenticides, fungicides, herbicides, anti-sprouting products and plant-growth regulators, disinfectants and similar products, put up for retail sale or as preparations or articles, e.g. sulphur-treated bands, wicks and candles, and fly-papers",3808.0,721629110
Spain,ES,"Glazed ceramic flags and paving, hearth or wall tiles; glazed ceramic mosaic cubes and the like, whether or not on a backing (excl. of siliceous fossil meals or similar siliceous earths, refractory ceramic goods, tiles specially adapted as table mats, ornamental articles and tiles specifically manufactur",6908.0,720193838
Germany,DE,"Optical fibres and optical fibre bundles; optical fibre cables (excl. made up of individually sheathed fibres of heading 8544); sheets and plates of polarising material; lenses, incl. contact lenses, prisms, mirrors and other optical elements of any material, unmounted (excl. such elements of glass not o",9001.0,719268924
Germany,DE,"Acrylic polymers, in primary forms",3906.0,718853149
France,FR,"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non-perforated punchcards and punch-tape paper, in rolls or in square or rectangular sheets, of any size, and handmade paper and paperboard (excl. newsprint of heading 4801 and paper of heading 4803)",4802.0,718602808
Netherlands,NL,Cyclic hydrocarbons,2902.0,717216955
Luxembourg,LU,"Automatic data-processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, n.e.s.",8471.0,715443528
Germany,DE,"Articles of vulcanised rubber (excl. hard rubber), n.e.s.",4016.0,713332529
Germany,DE,"Special purpose motor vehicles (other than those principally designed for the transport of persons or goods), e.g. breakdown lorries, crane lorries, fire fighting vehicles, concrete-mixer lorries, road sweeper lorries, spraying lorries, mobile workshops and mobile radiological units",8705.0,712895969
Germany,DE,Heterocyclic compounds with nitrogen hetero-atom[s] only,2933.0,712192661
Spain,ES,"New pneumatic tyres, of rubber",4011.0,710655653
Germany,DE,,,705292039
Italy,IT,"Articles for the conveyance or packaging of goods, of plastics; stoppers, lids, caps and other closures, of plastics",3923.0,705251818
France,FR,"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture appliances; artificial parts of the body; hearing aids and other appliances which are worn or carried, or implanted in the body, to compensate for a defect or disability",9021.0,702793473
Germany,DE,"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether or not in rolls (excl. floor, wall and ceiling coverings of heading 3918)",3919.0,700349818
Italy,IT,"Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (excl. knitted or crocheted, wind-jackets and similar articles, separate waistcoats, tracksuits, ski suits and swimwear)",6203.0,699178502
Germany,DE,"Plates, sheets and strip, of copper, of a thickness of > 0,15 mm (excl. expanded sheet and strip copper and electrically insulated strip)",7409.0,696920593
Germany,DE,"Printed matter, incl. printed pictures and photographs, n.e.s.",4911.0,694783934
Belgium,BE,"Prepared binders for foundry moulds or cores; chemical products and preparations for the chemical or allied industries, incl. mixtures of natural products, n.e.s.",3824.0,693640367
Germany,DE,"Tubes, pipes and hollow profiles, seamless, of iron or steel (excl. products of cast iron)",7304.0,691255763
Germany,DE,"Sausages and similar products, of meat, offal or blood; food preparations based on these products",1601.0,690628263
Netherlands,NL,"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",2009.0,688492349
Germany,DE,"Amino-resins, phenolic resins and polyurethanes, in primary forms",3909.0,687611390
Germany,DE,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps; parts thereof (excl. air conditioning machines of heading 8415)",8418.0,687483430
Poland,PL,"Medicaments consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses ""incl. those in the form of transdermal administration"" or in forms or packings for retail sale (excl. goods of heading 3002, 3005 or 3006)",3004.0,686895735
Netherlands,NL,"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",2905.0,686384520
Netherlands,NL,"Electrical apparatus for switching or protecting electrical circuits, or for making connections to or in electrical circuits, e.g., switches, relays, fuses, surge suppressors, plugs, sockets, lamp holders and junction boxes, for a voltage <= 1.000 V (excl. control desks, cabinets, panels etc. of heading",8536.0,685932860
France,FR,Fork-lift trucks; other works trucks fitted with lifting or handling equipment (excl. straddle carriers and works trucks fitted with a crane),8427.0,685907687
Spain,ES,"Footwear with outer soles of rubber, plastics, leather or composition leather and uppers of leather (excl. orthopaedic footwear, skating boots with ice or roller skates attached, and toy footwear)",6403.0,683039623
Netherlands,NL,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, inedible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils, n.e.s.",1518.0,680495866
Netherlands,NL,"Meat of swine, fresh, chilled or frozen",203.0,679964472
Netherlands,NL,Cheese and curd,406.0,678979509
Irish Republic,IE,"Meat and edible offal of fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls, fresh, chilled or frozen",207.0,678346935
Czech Republic,CZ,"Electrical lighting or signalling equipment (excl. lamps of heading 8539), windscreen wipers, defrosters and demisters, of a kind used for cycles or motor vehicles; parts thereof",8512.0,678011137
Netherlands,NL,"Electrical transformers, static converters, e.g. rectifiers, and inductors; parts thereof",8504.0,676812382
Italy,IT,"Articles of iron or steel, n.e.s. (excl. cast articles)",7326.0,675369140
Germany,DE,Wheat and meslin,1001.0,673905314
Germany,DE,"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled or cold-rolled ""cold-reduced""",7225.0,673109613
Germany,DE,"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, n.e.s.",8538.0,672399188
France,FR,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified",1512.0,664428207
Netherlands,NL,Preparations of a kind used in animal feeding,2309.0,663079414
Germany,DE,"Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk)",2202.0,649086340
Belgium,BE,"Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl esters and other polyesters, in primary forms",3907.0,648505863
Belgium,BE,Cheese and curd,406.0,644326576
Poland,PL,"Builders' joinery and carpentry, of wood, incl. cellular wood panels, assembled flooring panels, shingles and shakes, of wood (excl. plywood panelling, blocks, strips and friezes for parquet flooring, not assembled, and pre-fabricated buildings)",4418.0,644252576
Germany,DE,"Extracts, essences and concentrates, of coffee, tea or mat‚ and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof",2101.0,643731753
